accelX-accelY-accelZ
0,0745--0,2035--1,449,
0,1035--0,21775--1,5495,
0,12--0,26775--1,581,
0,11125--0,29225--1,5305,
0,08375--0,28825--1,45,
0,07650001--0,31125--1,3215,
0,0665--0,298--1,20375,
0,02925--0,3135--1,04925,
0,0025--0,338--1,0395,
-0,0315--0,348--1,00775,
-0,06325001--0,34125--0,9917501,
-0,08050001--0,33--0,9332501,
-0,083--0,3195--0,901,
-0,06375001--0,3115--0,8880001,
-0,06125--0,291--0,8895,
-0,06125--0,276--0,946,
-0,062--0,289--0,96075,
-0,06825--0,2895--0,9472501,
-0,07650001--0,2815--0,932,
-0,08350001--0,2865--0,951,
-0,1--0,323--1,00675,
-0,109--0,33225--1,00575,
-0,114--0,32425--0,9670001,
-0,1145--0,32375--0,9760001,
-0,11175--0,33025--0,9820001,
-0,10175--0,32775--0,9727501,
-0,045--0,321--1,0545,
0,0075--0,336--1,14775,
0,0025--0,297--1,34075,
-0,017--0,2475--1,48325,
0,0255--0,2685--1,6265,
0,02975--0,30075--1,71125,
-0,0285--0,31025--1,662,
-0,10275--0,26675--1,60225,
-0,106--0,26775--1,69975,
-0,17775--0,31775--1,79525,
-0,43925-0,2745--2,834,
-0,69625-0,22775--3,37325,
-0,8835-0,0365--3,3825,
-1,208-0,13175--2,9635,
-1,5715--0,47675--0,82775,
-1,59925--0,862-0,322
-0,247--0,24275--0,95025,
-0,268--0,2555--0,9532501,
-0,28275--0,25875--0,9522501,
-0,28075--0,236--0,93625,
-0,27525--0,22775--0,934,
-0,271--0,23325--0,93475,
-0,26975--0,233--0,9275001,
-0,25875--0,23275--0,9095001,
-0,26325--0,2595--0,9497501,
-0,26325--0,2595--0,9497501,
-0,274--0,3315--0,9765,
-0,2755--0,34425--0,9770001,
-0,28425--0,32025--0,984,
-0,271--0,2695--1,03075,
-0,24325--0,2445--1,127,
-0,267--0,26575--1,18125,
-0,288--0,25--1,268,
-0,31175--0,287--1,40575,
-0,182--0,33075--1,6535,
-0,06325001--0,3205--1,7485,
-0,00875--0,26225--2,05675,
0,08775-0,02375--2,9715,
-0,041-0,306--3,34475,
-1,02425-0,50975--4,57225,
-1,974--0,146--5,01875,
-3,13225--0,57475--4,6725,
-4,467--0,4485--2,23325,
-4,2455--0,55825--1,10475,
-3,65475--0,7377501--0,47175,
-2,64275--0,831-0,10275,
-2,3265--0,71825-0,413,
-2,0335--0,7545-0,8095,
-1,38125--1,1715-1,60325,
-1,16225--1,21475-1,85525,
-0,96275--1,277-2,18125,
-0,816--1,1835-2,365,
-0,3005--0,60175-1,741,
0,05275--0,329-1,23775,
0,377--0,115-0,779,
0,70575--0,0315-0,42725,
0,9597501--0,10075-0,0905,
1,02775--0,21825--0,01475,
1,02975--0,27775--0,00675,
0,9590001--0,29325-0,3115,
0,816--0,2955-0,49725,
0,73125--0,348-0,478,
0,68775--0,3935-0,3955,
0,62725--0,36525-0,34525,
0,5272501--0,20225-0,267,
0,57725--0,16775-0,23325,
0,53975--0,14025-0,15125,
0,47225--0,1785--0,119,
0,44475--0,20175--0,227,
0,4365--0,1095--0,38225,
0,4365--0,1095--0,38225,
0,411--0,052--0,512,
0,26475--0,146--0,67125,
0,19475--0,214--0,7640001,
0,17225--0,218--0,924,
0,201-0,1005--1,30275,
0,187-0,235--1,40575,
0,14525-0,25075--1,44175,
0,1195-0,15--1,43075,
0,01975--0,19475--1,38075,
-0,01475--0,314--1,3375,
-0,0965--0,35925--1,3595,
-0,146--0,309--1,37375,
-0,149--0,305--1,386,
-0,114--0,324--1,39125,
-0,083--0,2555--1,475,
-0,09625001--0,1555--1,55725,
-0,146--0,09375001--1,6815,
-0,17675--0,23575--1,67925,
-0,2415--0,36575--1,59425,
-0,2995--0,449--1,47125,
-0,365--0,425--1,2545,
-0,37275--0,415--1,188,
-0,352--0,49975--1,10925,
-0,3135--0,40375--0,96075,
-0,28475--0,37675--0,9135001,
-0,25825--0,4355--0,8545001,
-0,22325--0,47225--0,8060001,
-0,18--0,397--0,831,
-0,144--0,35925--0,8592501,
-0,1255--0,28825--0,8767501,
-0,0935--0,27375--0,8627501,
-0,07325--0,28375--0,8585001,
-0,02675--0,3155--0,8627501,
-0,0125--0,26625--0,88625,
-0,05775--0,25--0,8955001,
-0,037--0,23875--0,8750001,
-0,0235--0,26725--0,88025,
0,027--0,3125--0,8975,
0,06475--0,02825--1,25725,
-0,044-0,0045--1,61725,
-0,15775--0,51825--2,138,
-0,31775--0,51725--2,29675,
-0,44775--0,492--2,37425,
-0,927--0,10725--2,80625,
-1,2445--0,09625001--3,095,
-1,57425--0,098--3,15275
